Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Image
58777696,"River of the Gods: Genius, Courage and Betrayal in the Search for the Source of the Nile",Candice Millard,"Millard, Candice",,052552407X,9780525524076,3,Doubleday,Hardcover,349,2022,2022,2023/04/21,2023/04/21,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1635789021i/58777696.jpg
10788983,Same Sun Here,Silas House,"House, Silas",Neela Vaswani,763656844,9780763656843,5,Candlewick Press,Hardcover,288,2012,2012,2024/05/07,2023/04/29,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1327949214i/10788983.jpg
168642,In Cold Blood,Truman Capote,"Capote, Truman",,679745580,9780679745587,5,Vintage,Paperback,343,1994,1966,2023/04/29,2023/04/29,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1424931136i/168642.jpg
61089492,This Other Eden,Paul Harding,"Harding, Paul",,132403629X,9781324036296,4,W. W. Norton & Company,Hardcover,224,2023,2023,2023/04/30,2023/04/30,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1665472154i/61089492.jpg
58804246,"Hell's Half-Acre : The Untold Story of the Benders, America's First Serial Killer Family",Susan Jonusas,"Jonusas, Susan",,1984879839,9781984879837,3,Viking,Hardcover,345,2022,2022,2023/05/04,2023/05/04,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1629330043i/58804246.jpg
46000520,"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,"Osman, Richard",,,,3,Penguin Books,Kindle Edition,382,2020,2020,2023/05/06,2023/05/06,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1582287822i/46000520.jpg
57850265,How High We Go in the Dark,Sequoia Nagamatsu,"Nagamatsu, Sequoia",,63072645,9780063072640,4,William Morrow,Hardcover,293,2022,2022,2023/08/05,2023/05/11,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1627483822i/57850265.jpg
56943582,Small Things Like These,Claire Keegan,"Keegan, Claire",,571368689,9780571368686,4,Faber & Faber,Hardcover,116,2022,2021,2023/06/11,2023/05/11,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1677020634i/56943582.jpg
55457493,"The Man Who Died Twice (Thursday Murder Club, #2)",Richard Osman,"Osman, Richard",,,,4,Penguin,Kindle Edition,422,2021,2021,2023/05/11,2023/05/11,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1616100048i/55457493.jpg
19089,Middlemarch,George Eliot,"Eliot, George",Michel Faber,451529170,9780451529176,5,Signet,Mass Market Paperback,912,2003,1872,2023/05/15,2023/05/15,,,read,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1568307771i/19089.jpg
